Client Name,Client ID,GL Check Date,GL Org Description,GL Org Code,GL Account Number,Debit Amount,Credit Amount,GL Account Name
 ,, , , , ,25242.7600,25242.7600, 
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,100-07,,30528.2000,NET PAYROLL
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,100-07,,10043.9100,NET PAYROLL TAXES
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,145-00,,65.0000,TRANSPORTATION
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,210-00,14843.1100,,PAYROLL COST: TIPS
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,220-00,,71.4000,401K Payable
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,610-01,543.8000,,PAYROLL COSTS FICA
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,610-01,2325.1800,,PAYROLL COSTS FICA
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,610-01,26.0300,,PAYROLL COSTS FUI
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,610-01,225.0100,,PAYROLL COSTS NY MTA TAX
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,610-01,211.4300,,PAYROLL COSTS SUI
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,610-05,,28.2000,NY SDI
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,610-05,,162.2800,NYS PFL
SECOND STREET RESTAURANT LLC,155030,09/18/2026,ZZZZ,,610-51,930.0000,,PAYROLL COSTS: PAID TIME OFF
SECOND STREET RESTAURANT LLC,155030,09/18/2026,POLISHER,101,600-18,327.9400,,POLISHER
SECOND STREET RESTAURANT LLC,155030,09/18/2026,LINE COOKS,16,600-10,4825.3100,,WAGES:LINE COOKS
SECOND STREET RESTAURANT LLC,155030,09/18/2026,PREP COOKS,26,600-12,905.5100,,WAGES:PREP COOK
SECOND STREET RESTAURANT LLC,155030,09/18/2026,COMAL,27,600-14,2325.4400,,WAGES:COMAL
SECOND STREET RESTAURANT LLC,155030,09/18/2026,DISHWASHERS,33,600-05,3526.0400,,WAGES:DISHWASHERS
SECOND STREET RESTAURANT LLC,155030,09/18/2026,HOSTS,35,600-06,1027.8700,,WAGES:HOSTS/MAITRE'D
SECOND STREET RESTAURANT LLC,155030,09/18/2026,BAR,40,600-04,1680.2100,,WAGES:BAR/SOMM
SECOND STREET RESTAURANT LLC,155030,09/18/2026,BARBACK,45,600-04,478.7200,,WAGES:BAR/SOMM
SECOND STREET RESTAURANT LLC,155030,09/18/2026,MAITRE'D,5,600-06,982.4100,,WAGES:HOSTS/MAITRE'D
SECOND STREET RESTAURANT LLC,155030,09/18/2026,SERVERS,50,600-03,3306.9200,,WAGES:WAITERS
SECOND STREET RESTAURANT LLC,155030,09/18/2026,BUSSERS,55,600-11,1300.6400,,WAGES:BUSSERS
SECOND STREET RESTAURANT LLC,155030,09/18/2026,RUNNERS,60,600-16,1107.4200,,WAGES:RUNNER
*TOTAL GL Check Date 09/18/2026
 ,, , , , ,40898.9900,40898.9900, 
*TOTAL Client ID      155030
 ,, , , , ,40898.9900,40898.9900, 
BOWERY GROUP CORP,155050,09/18/2026,ZZZZ,,100-20,,46187.5800,NET PAYROLL
BOWERY GROUP CORP,155050,09/18/2026,ZZZZ,,100-20,,17211.4100,NET PAYROLL TAXES
BOWERY GROUP CORP,155050,09/18/2026,ZZZZ,,100-20,,1650.0000,PARTIAL DIRECT DEPOSITS
BOWERY GROUP CORP,155050,09/18/2026,ZZZZ,,110-00,,200.0000,DUE FROM EMPLOYEES
BOWERY GROUP CORP,155050,09/18/2026,ZZZZ,,145-00,,43.7500,TRANSPORTATION
BOWERY GROUP CORP,155050,09/18/2026,ZZZZ,,220-00,,5132.6900,401K Payable
BOWERY GROUP CORP,155050,09/18/2026,ZZZZ,,610-01,947.6800,,PAYROLL COSTS FICA
BOWERY GROUP CORP,155050,09/18/2026,ZZZZ,,610-01,4052.1400,,PAYROLL COSTS FICA
BOWERY GROUP CORP,155050,09/18/2026,ZZZZ,,610-01,75.1700,,PAYROLL COSTS NY MTA TAX
BOWERY GROUP CORP,155050,09/18/2026,ZZZZ,,610-05,,6.6000,NY SDI
BOWERY GROUP CORP,155050,09/18/2026,ZZZZ,,610-05,,43.5800,NYS PFL
BOWERY GROUP CORP,155050,09/18/2026,ZZZZ,,610-06,,262.9800,EMPLOYEE BENEFITS
BOWERY GROUP CORP,155050,09/18/2026,ZZZZ,,610-52,35000.0000,,PAYROLL COSTS: BONUS
BOWERY GROUP CORP,155050,09/18/2026,ADMINISTRATIVE,12,600-15,7259.6400,,WAGES:ADMINISTRATIVE
BOWERY GROUP CORP,155050,09/18/2026,MANAGEMENT,13,600-01,13461.6200,,WAGES:FOH MANAGEMENT
BOWERY GROUP CORP,155050,09/18/2026,MAINTENANCE,14,620-20,1576.9200,,WAGES:MAINTEANCE
BOWERY GROUP CORP,155050,09/18/2026,KITCHEN,15,600-02,8365.4200,,WAGES:BOH MANAGEMENT
*TOTAL GL Check Date 09/18/2026
 ,, , , , ,70738.5900,70738.5900, 
*TOTAL Client ID      155050
 ,, , , , ,70738.5900,70738.5900, 
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,100-11,,67141.0800,NET PAYROLL
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,100-11,,24003.0200,NET PAYROLL TAXES
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,110-00,,300.0000,DUE FROM EMPLOYEES
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,145-00,,31.9000,TRANSPORTATION
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,210-00,38202.9800,,PAYROLL COST: TIPS
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,220-00,,1046.1500,401K Payable
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-01,1239.3500,,PAYROLL COSTS FICA
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-01,5299.3100,,PAYROLL COSTS FICA
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-01,54.9100,,PAYROLL COSTS FUI
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-01,512.8100,,PAYROLL COSTS NY MTA TAX
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-01,337.5400,,PAYROLL COSTS SUI
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-05,,56.9300,NY SDI
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-05,,369.3900,NYS PFL
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,ZZZZ,,610-51,1063.5000,,PAYROLL COSTS: PAID TIME OFF
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,TRAINING,100,600-13,611.4900,,WAGES:TRAINING
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,POLISHER,101,600-18,568.8000,,POLISHER
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,EXPO,13,600-17,700.0000,,WAGES:EXPO
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,PASTRY,20,600-08,3436.1700,,WAGES:PASTRY
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,MANAGEMENT,25,600-01,671.5000,,WAGES:FOH MANAGEMENT
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,HOSTS,30,600-06,2055.8600,,WAGES:HOSTS/MAITRE'D
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,BUSSERS,35,600-11,3044.2200,,WAGES:BUSSERS
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,SERVERS,40,600-03,6786.5200,,WAGES:WAITERS
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,LINE COOKS,45,600-10,10515.8000,,WAGES:LINE COOK
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,MAITRE'D,46,600-06,1739.3700,,WAGES:HOSTS/MAITRE'D
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,PREP COOKS,50,600-12,6518.6000,,WAGES:PREP COOK
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,DISHWASHERS,55,600-05,4277.7500,,WAGES:DISHWASHERS
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,BAR,60,600-04,2857.9500,,WAGES:BAR/SOMM
"156 TENTH AVENUE RESTAURANT, LLC.",155090,09/18/2026,RUNNERS,65,600-16,2454.0400,,WAGES:RUNNER
*TOTAL GL Check Date 09/18/2026
 ,, , , , ,92948.4700,92948.4700, 
*TOTAL Client ID      155090
 ,, , , , ,92948.4700,92948.4700, 
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,100-06,,56641.2800,NET PAYROLL
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,100-06,,20306.2600,NET PAYROLL TAXES
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,110-00,,150.0000,DUE FROM EMPLOYEES
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,145-00,,38.2000,TRANSPORTATION
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,210-00,32913.9200,,PAYROLL COST: TIPS
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,220-00,,279.2200,401K Payable
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,610-01,1036.8900,,PAYROLL COSTS FICA
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,610-01,4433.7900,,PAYROLL COSTS FICA
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,610-01,27.3100,,PAYROLL COSTS FUI
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,610-01,434.0900,,PAYROLL COSTS NY MTA TAX
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,610-01,288.7500,,PAYROLL COSTS SUI
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,610-05,,46.7100,NY SDI
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,610-05,,309.5100,NYS PFL
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,610-06,,100.0500,EMPLOYEE BENEFITS
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,ZZZZ,,610-51,266.5000,,PAYROLL COSTS: PAID TIME OFF
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,POLISHER,101,600-18,1690.1600,,POLISHER
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,LINE COOKS,16,600-10,8860.7200,,WAGES:LINE COOK
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,PREP COOKS,26,600-12,9533.5200,,WAGES:PREP COOK
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,DISHWASHERS,33,600-05,4506.8800,,WAGES:DISHWASHERS
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,HOSTS,35,600-06,1976.4600,,WAGES:HOSTS/MAITRE'D
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,BAR,40,600-04,1739.5000,,WAGES:BAR/SOMM
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,MAITRE'D,5,600-06,1454.7900,,WAGES:HOSTS/MAITRE'D
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,SERVERS,50,600-03,4347.9500,,WAGES:WAITERS
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,BUSSERS,55,600-11,2033.3600,,WAGES:BUSSERS
230 NINTH AVENUE RESTAURANT LLC,155093,09/18/2026,RUNNERS,60,600-16,2326.6400,,WAGES:RUNNER
*TOTAL GL Check Date 09/18/2026
 ,, , , , ,77871.2300,77871.2300, 
*TOTAL Client ID      155093
 ,, , , , ,77871.2300,77871.2300, 
